""," ","LHS","RHS","support","confidence","coverage","lift","count","oddsRatio","leverage","chiSquared","lhs_length","cuts"
"1","[1]","{other vegetables,root vegetables}","{whole milk}",0.0266,0.5019,0.0531,1.918,131,3.0518,0.0127,0,2,"A"
"2","[2]","{root vegetables,whole milk}","{other vegetables}",0.0266,0.5078,0.0525,2.5249,131,4.5708,0.0161,0,2,"A"
"3","[3]","{other vegetables,whole milk}","{root vegetables}",0.0266,0.3342,0.0797,2.8935,131,4.6964,0.0174,0,2,"A"
"4","[4]","{other vegetables,yogurt}","{whole milk}",0.0238,0.5065,0.047,1.9355,117,3.0851,0.0115,0,2,"B"
"5","[5]","{whole milk,yogurt}","{other vegetables}",0.0238,0.4062,0.0586,2.0202,117,2.9487,0.012,0,2,"B"
"6","[6]","{other vegetables,whole milk}","{yogurt}",0.0238,0.2985,0.0797,2.085,117,2.855,0.0124,0,2,"B"
"7","[7]","{other vegetables,tropical fruit}","{whole milk}",0.0197,0.4974,0.0397,1.9008,97,2.9386,0.0093,0,2,"D"
"8","[8]","{tropical fruit,whole milk}","{other vegetables}",0.0197,0.4199,0.047,2.0881,97,3.0797,0.0103,0,2,"D"
"9","[9]","{tropical fruit,yogurt}","{whole milk}",0.0185,0.5652,0.0327,2.1599,91,3.8707,0.0099,0,2,"D"
"10","[10]","{tropical fruit,whole milk}","{yogurt}",0.0185,0.3939,0.047,2.752,91,4.3199,0.0118,0,2,"D"
